1;01;wonder_splash;12.8347;77.4011;12
1;02;techno_jump;12.8348;77.4017;18
1;03;sky_wheel;12.8233;77.4221;64
1;04;cinimagic;12.8364;77.4453;120
1;05;crazy_cars;12.8788;77.4677;40
1;06;jungl_lagoon;12.8656;77.4567;250
1;07;fun_racers;12.8743;77.4876;50
1;08;water_pendulum;12.8454;77.4766;6
2;11;Food_court;12.9346;77.5346;100
2;12;pi_r_cube;12.9645;77.5445;200
2;13;nescafe;12.9346608;77.5342589;100
2;14;food_point;12.9745;77.5745;250
3;21;Aqua Dive;19.230287;72.806115;200
3;22;Dance Tent;19.231295;72.807209;130
3;23;Junior Carosle;19.232313;72.805605;80
3;24;Hoola loop;19.232982;72.805723;100
3;25;Watlantic Wave Pool;19.231787;72.806753;200
