001;01;wonder_splash;12.8347;77.4011;12
001;02;techno_jump;12.8348;77.4017;18
001;03;sky_wheel;12.8233;77.4221;64
001;04;cinimagic;12.8364;77.4453;120
001;05;crazy_cars;12.8788;77.4677;40
001;06;jungl_lagoon;12.8656;77.4567;250
001;07;fun_racers;12.8743;77.4876;50
001;08;water_pendulum;12.8454;77.4766;6
002;11;Food_court;12.9346;77.5346;100
002;12;pi_r_cube;12.9645;77.5445;200
002;13;nescafe;12.9355;77.5355;500
002;14;food_point;12.9745;77.5745;250
003;21;Electricity model;12.9751;77.5964;20
003;22;Locomotives;12.9951;77.5994;50 
003;23;Early aircraft engine;12.9961;77.5964;80
003;24;physics gallery;12.9966;77.5969;200
004;25;Biology gallery;12.9266;77.5269;220
